athlete_id,activity_id,date,week_no,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_26_06_01_20.csv,2019-10-26T04:01:20.000000,10,10775,10804,24
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,7033,7062,25
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,7274,7303,46
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,8785,8814,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,9858,9887,24
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,10954,10983,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,12085,12114,19
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,12589,12618,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,13490,13519,19
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,13609,13638,11
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_27_06_02_46.csv,2019-10-27T04:02:46.000000,11,15560,15589,22
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_12_15_16_33.csv,2019-11-12T13:16:33.000000,13,884,913,14
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_29_04_28_31.csv,2019-11-29T02:28:31.000000,15,3201,3230,40
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_29_04_28_31.csv,2019-11-29T02:28:31.000000,15,4591,4620,18
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,1336,1365,27
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,1448,1477,7
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,1970,1999,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,4543,4572,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,4927,4956,24
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,5054,5083,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_11_30_05_50_09.csv,2019-11-30T03:50:09.000000,15,8255,8284,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_01_06_03_34.csv,2019-12-01T04:03:34.000000,16,6764,6793,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_11_04_47_07.csv,2019-12-11T02:47:07.000000,17,2319,2348,24
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_12_18_34_37.csv,2019-12-12T16:34:37.000000,17,2023,2052,21
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_12_18_34_46.csv,2019-12-12T16:34:46.000000,17,2012,2041,21
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_16_05_42_23.csv,2019-12-16T03:42:23.000000,18,7183,7212,37
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_20_04_48_36.csv,2019-12-20T02:48:36.000000,18,1921,1950,36
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_20_04_48_36.csv,2019-12-20T02:48:36.000000,18,4230,4259,40
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_21_05_59_53.csv,2019-12-21T03:59:53.000000,18,10325,10354,15
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,1425,1454,31
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,3628,3657,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,6292,6321,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,8411,8440,36
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,10607,10636,35
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,11560,11589,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,13368,13397,32
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_24_04_59_41.csv,2019-12-24T02:59:41.000000,19,14116,14145,30
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_25_05_58_35.csv,2019-12-25T03:58:35.000000,19,6878,6907,33
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_25_05_58_35.csv,2019-12-25T03:58:35.000000,19,7072,7101,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_25_05_58_35.csv,2019-12-25T03:58:35.000000,19,7297,7326,33
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_26_05_30_36.csv,2019-12-26T03:30:36.000000,19,7019,7048,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_26_05_30_36.csv,2019-12-26T03:30:36.000000,19,10457,10486,16
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_26_05_30_36.csv,2019-12-26T03:30:36.000000,19,10654,10683,25
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_27_04_32_18.csv,2019-12-27T02:32:18.000000,19,5301,5330,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_12_27_04_32_18.csv,2019-12-27T02:32:18.000000,19,6437,6466,31
