id,gender,yob,numberOfRides,duration,rideFrequency,max_hr,min_hr
42c28be1-0f23-4e72-99be-adce9a593411,M,1962,666,1196,0.5568561872909699,171.0,64.0
d9e4e8a4-2a85-474d-867d-4d5f2517a683,M,1979,1371,1815,0.7553719008264462,158.0,47.562485
5d9be2e9-fe18-46b0-83d3-ff3c4ad5da60,M,1973,276,375,0.736,203.0,52.0
b51b7995-2e07-47ed-9fec-4dbf6ec37ac7,M,1995,168,193,0.8704663212435233,190.59999999999997,66.0
4a07f9c7-58d7-413d-8e7b-ca3c5f379c57,M,1980,174,327,0.5321100917431193,181.0,46.97
fe4bcccf-399f-4cd4-b385-e3b053e41c30,M,1960,257,483,0.5320910973084886,173.0,57.6
74114d44-6c7f-4b11-a9c5-ba33f2a643c3,M,1967,872,1732,0.5034642032332564,214.0,62.0
17c30fad-f9f1-452f-afea-16c8116f85e9,M,1997,342,539,0.634508348794063,,
51bf566f-80ae-492f-b6a4-3a3caeb289ec,M,1987,922,1405,0.6562277580071174,185.0,40.57056
80d5c25b-d29c-4725-8fd2-a973b770f847,M,1963,711,1169,0.6082121471343028,170.0,73.0
bce0f962-41e6-4d36-a5f0-e12f6474ea71,M,1986,821,884,0.9287330316742082,189.0,57.0
10f33d1c-d7a1-4428-a750-d867e9bd39ac,M,1963,678,918,0.738562091503268,176.0,48.0
b4a595a3-1789-45a4-a049-5c3f26a1dff7,M,1975,629,655,0.9603053435114504,184.0,66.0
82ddd5e9-eda7-4d56-b892-037385df5054,M,1973,503,932,0.5396995708154506,164.0,53.16668
1030713a-29cd-4bc2-acbd-bf7c4855ffab,M,1995,1358,1425,0.9529824561403508,189.0,62.0
a5ec7cd5-c4c7-47b1-a08a-141a25c9b8f4,M,1984,709,1127,0.6291038154392191,195.0,66.0
