athlete_id,weeks_with_readings,weeks_between_first_and_last_readings,percentage_weeks_with_readings
d222716f-5ed8-46f9-a35c-ec6b3d9bae67,56,56,100.0
01843f3a-8883-4a76-a60f-223c92ff7ef1,2,2,100.0
dd2eee24-b271-4cbd-be01-66b804838e5f,70,71,98.59154929577466
acd66fb1-e8e9-4a83-8269-939b54852397,18,19,94.73684210526315
3c61dc3b-68c0-4a2d-8724-6a744abe6d19,13,14,92.85714285714286
97debc77-9d4c-4ac4-944c-26d890d57387,36,39,92.3076923076923
3a74749c-d364-465a-8b26-47a6a58ddc55,27,30,90.0
95c29407-3898-46d9-9399-53ca391d26a5,17,19,89.47368421052632
42c28be1-0f23-4e72-99be-adce9a593411,148,168,88.09523809523809
3cda1bd7-56c5-428e-98c7-fe13f7e1cbae,31,36,86.11111111111111
6d808c81-5988-44cb-8a65-12723ac05506,24,28,85.71428571428571
d5b08556-ac8c-43b7-bd28-b37152623424,35,41,85.36585365853658
4d7eb099-5b50-45a1-9a69-e9898c77fe85,57,68,83.82352941176471
5d832f19-7169-409f-b1d3-6947b72e423b,18,22,81.81818181818183
e7a3ed8a-cca4-4ba9-b244-328dacb435cd,53,70,75.71428571428571
5ae846a2-fb61-4553-a41f-99db55bcebbd,45,63,71.42857142857143
df6f2e29-5e82-431d-8549-27ca0f2fccff,63,91,69.23076923076923
a0eba165-f6fe-4a21-928a-f667bf9bbfc6,22,32,68.75
bce0f962-41e6-4d36-a5f0-e12f6474ea71,72,108,66.66666666666666
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,71,108,65.74074074074075
1030713a-29cd-4bc2-acbd-bf7c4855ffab,120,188,63.829787234042556
091ff782-d063-4411-9f40-9b679eaf44da,8,13,61.53846153846154
f3771ea1-af65-4b36-90ad-6ffb5ac1f309,108,186,58.06451612903226
445c698a-ee2f-483b-b9d9-c4562bdafb88,33,58,56.896551724137936
7780d1e6-26b2-411e-971f-8d35c56e65d8,31,55,56.36363636363636
e58c276d-9e21-4dcf-8121-703ee2c6f729,113,227,49.77973568281938
da6ab7ad-655c-4e4b-ac95-7af4cdc4b8f8,50,102,49.01960784313725
88f6e5bd-24b5-4188-926e-d08faae36e72,30,64,46.875
ed8a4e8f-328f-40a6-9886-5120123826eb,22,47,46.808510638297875
fe4bcccf-399f-4cd4-b385-e3b053e41c30,23,55,41.81818181818181
afaf9967-adcd-4e9b-b117-55ca7057c0df,4,13,30.76923076923077
f505b200-6daf-46ad-b49e-14ff8edd72d6,13,46,28.26086956521739
1214b775-d2df-4365-818e-fd07c6c1605a,15,61,24.59016393442623
06f81197-504a-478b-a347-052d4df03044,76,361,21.052631578947366
75119381-8969-4cfe-8c31-f21ce0f7ae3a,5,31,16.129032258064516
433abcb7-e4db-4002-892b-f033db0a4700,11,70,15.714285714285714
366f2948-6a84-46ec-9306-94784457a294,12,79,15.18987341772152
