id,gender,yob,numberOfRides,duration,rideFrequency
0291283c-c8f2-4c81-b9b1-294bf19378db,M,2014,1143,1827,0.625615763546798
029313fd-47e7-4268-9cf3-acb6b2bf7ab5,M,1970,108,280,0.38571428571428573
029a1b65-18ea-41d0-aa2d-e2fd5f2e35c8,M,2076,0,0,0.0
029abbce-69c2-42fc-ad44-a85541cd98b4,M,1967,5156,2054,2.510223953261928
029eeaf0-c194-43ca-aed2-b46484e62bfe,F,1976,25,39,0.6410256410256411
02a0c9dc-6687-47a7-96f4-140d88dc3c35,M,1977,277,1080,0.2564814814814815
02a20442-5e89-476c-b863-1fb89f7b13e9,M,1970,129,268,0.48134328358208955
02a72bf5-d3cf-4502-ac7f-1828abb367ae,M,1968,1977,1287,1.5361305361305362
02af847b-187a-460e-80ca-755eda90080d,M,1999,21,32,0.65625
02b32b14-ecea-4522-b1c7-193b23b6cb12,M,1989,23,87,0.26436781609195403
02b556f1-3579-45f0-9a4e-c3d32948344d,M,1980,468,1078,0.43413729128014844
02c5fc8d-52b6-4450-a777-b4dc0e7c56b8,M,1980,177,117,1.5128205128205128
02c66be1-d810-4dca-9e6a-001bfa0d7dae,M,1970,576,5071,0.11358706369552357
02cc8feb-3d51-458c-b7a4-c4290c2116ed,M,2068,277,454,0.6101321585903083
02dd2e4d-70dd-469c-b33f-58824fc1c754,M,2095,198,256,0.7734375
02de475c-f1fb-4210-afd7-5c616b6ace33,M,1973,396,567,0.6984126984126984
02e2c899-b625-44ff-b3c0-3795dbbd54fa,M,1990,151,355,0.4253521126760563
02fe4b03-0f97-4076-b9d0-9a8229921b78,M,1969,2,3,0.6666666666666666
0304a571-5f2e-4563-b7bc-9c5525ced673,M,1988,445,517,0.8607350096711799
030ac0ae-b563-4f49-8813-defeef5e22bf,M,2095,853,1433,0.5952547103977669
031046ff-34df-453a-9e98-02c49a869d05,M,2000,7,105,0.06666666666666667
0318cb82-9dde-4952-bfcc-32ad9e5b4ace,M,1987,504,753,0.6693227091633466
031a697d-cc40-4d77-87ff-b9a84308c5ae,M,1967,1065,3220,0.3307453416149068
031c70de-6ccd-48f8-ac62-d50eb3d75387,M,1990,1936,3334,0.5806838632273545
031cf14a-2d95-448b-85a9-3734585a6cae,M,1956,10,13,0.7692307692307693
031eacac-4a01-4d1b-a5b4-c43c168c3c13,M,1950,640,1326,0.48265460030165913
03239396-35ee-484d-b5fb-323cceabdcdc,M,2000,0,0,0.0
032e76d1-1992-4f26-b194-957d25badde5,M,1985,4,35,0.11428571428571428
03370f5b-71bb-4a68-a00e-2e169cdd87b0,M,1976,29,44,0.6590909090909091
033874ce-e20d-44ba-9cc9-125030b6662f,M,1967,592,4406,0.13436223331820246
0340d1df-3068-4888-92b8-96f111bc318e,M,1979,179,3322,0.053883202889825406
034659e9-10ea-4660-81e6-b364f41db72d,M,1974,33,225,0.14666666666666667
034bf84e-090f-4551-86e9-c2651585e2a5,M,2012,0,0,0.0
03542747-6d9b-4663-9d97-11e402ab8c54,M,1972,71,949,0.07481559536354057
035b4edc-c0f0-4fa5-bd91-31295979158a,F,1993,15,18,0.8333333333333334
035d04b1-2c3d-4669-a6c5-335cf24ca541,M,1968,32,82,0.3902439024390244
036393f4-2f62-4ecc-a354-25af3b8d49ee,M,1972,549,3092,0.1775549805950841
03696ce7-b7a6-4eb8-a72a-a4015a58c1a9,M,1975,30,164,0.18292682926829268
03708ccb-081b-4f02-b5bc-bb99e82cb11c,M,1976,14,38,0.3684210526315789
03777030-f4f3-403d-99dc-18818f685442,M,1990,171,393,0.4351145038167939
0384d720-e2c0-4b42-8566-f3f1ef1b9f4d,M,1993,156,177,0.8813559322033898
03864b28-0eb4-4848-8f57-c12a329975f3,M,1974,60,282,0.2127659574468085
038b865e-b1f4-4727-83a0-ab5b3e315ccf,M,1965,34,119,0.2857142857142857
038bec9a-1e67-428e-807d-cf1a1e0914fc,M,1991,235,453,0.5187637969094923
03a6bb49-6d13-4055-b462-9770cd76c80b,M,1996,305,420,0.7261904761904762
03a7c383-5d38-48fa-8bbf-796e14854864,M,2080,346,798,0.43358395989974935
03b3225b-b317-4e33-b0d2-a90784495fd6,M,1984,64,70,0.9142857142857143
03b324f0-44fc-419a-9f91-aedf5a2a9e66,M,1965,85,291,0.2920962199312715
03b92ffc-7e74-4dc2-8c2e-765ea5732ca1,M,1987,0,0,0.0
03b9b539-7138-4f45-98b8-1be59603f88f,M,1963,117,121,0.9669421487603306
03c1c648-718d-4340-ad72-c9c577311a56,M,1968,0,0,0.0
03ca9de9-5379-4bdf-9e7a-c9748c937452,M,2002,218,1148,0.18989547038327526
03cd495f-efa8-40e7-b809-3dd72b17d537,M,1991,77,433,0.17782909930715934
03d3bcef-59a3-4704-8c89-03c0ede4b424,M,1972,824,1520,0.5421052631578948
03e0128d-44b3-4a36-a0fe-da54c80c1ef9,M,1978,369,571,0.6462346760070052
03e43ddc-bc6b-4b51-8e10-e02e9fa3bf8e,M,1978,17,77,0.22077922077922077
03e9caee-006e-4ad6-8ddb-f1dcf707892e,M,2079,0,0,0.0
03ef7e45-be79-4436-9d4e-8753e4aaab84,M,1982,820,1567,0.5232929164007658
03f9e4e3-36d1-413f-9f9a-833836aa41e8,M,1971,285,1533,0.18590998043052837
03fc0b0f-2611-4e20-97d9-c7a79b10550f,M,1980,676,2582,0.2618125484120837
0404d38a-812b-4599-a552-1ec637b96282,M,1985,414,550,0.7527272727272727
04095503-b841-40e0-a6e4-bd5e0a879788,M,1999,521,648,0.8040123456790124
0413085f-3615-4943-a414-0eaa723424c3,M,1985,336,480,0.7
041bc51a-ded5-4548-be69-73e36b0d299b,M,1971,147,239,0.6150627615062761
041eeb59-bc08-4866-bf4e-102eee70fca2,M,1970,538,1712,0.3142523364485981
04304f8b-8d59-4c75-a1b1-06347a47ff92,M,1971,16,149,0.10738255033557047
04462c2c-5d40-4665-ae09-681fddb86064,M,1977,253,984,0.2571138211382114
044b5cca-0306-4adb-8f21-5c8b989e6d4d,M,1973,76,122,0.6229508196721312
045e4210-a638-4e0b-80ff-8ee91b639ad9,M,2068,5,85,0.058823529411764705
046eaa97-8d0d-46c6-aa89-8cc3313e6474,M,1971,0,0,0.0
046ed862-4d71-44ee-890d-ad6f5e0fefaa,M,1967,7,30,0.23333333333333334
0477ed5c-9cd8-4610-9036-763ce8d6c19a,M,1986,447,816,0.5477941176470589
048efef0-3cf9-4677-9925-e958a825ee39,M,1974,17,33,0.5151515151515151
0495cd0e-508d-40a1-867a-a071538fa221,M,1993,1476,2658,0.5553047404063205
04986b17-08f5-4c02-a1ca-84f8250306d5,M,1967,432,2384,0.18120805369127516
049f3e1d-963d-4cc8-ad2d-e0149b516a01,M,1993,221,404,0.5470297029702971
04a18a1d-0264-4fe5-a1c9-2c5c0853530a,M,1956,161,199,0.8090452261306532
04aba234-b8dd-4839-9d01-13b4fdca8d69,M,1982,1495,1746,0.8562428407789232
04b44662-793d-449c-a31d-77223ae99bd6,M,1977,679,1534,0.4426336375488918
04b8833d-3db1-4464-8a58-f787cdd0b34d,M,1978,36,54,0.6666666666666666
04cb009e-05ee-4053-9fd8-2434365e4601,M,1969,12,29,0.41379310344827586
04d675a7-878c-401f-92ea-f8fd496d2a40,M,1975,5,256,0.01953125
04d8cb71-c39f-4ccc-a2fe-01eb0850bfd7,M,1986,149,194,0.7680412371134021
04dbb597-fc85-4ace-8e4c-f749d3762c5f,M,1965,441,6577,0.06705184734681466
04e1824a-f10d-4528-ad3e-9ce3e68361f5,M,1968,56,259,0.21621621621621623
050285dc-3312-48f0-941b-ca6cf8bd4e33,M,1973,73,266,0.2744360902255639
050b70e2-706a-4fbf-8036-3c4346643498,M,1998,288,628,0.4585987261146497
0519eeaf-c57e-4647-88d2-929f7c68335e,M,1981,150,392,0.3826530612244898
0541c44c-8161-42bb-8a10-f2dd5ad0b169,M,1979,1,0,0.0
054218e6-c997-4967-9d81-b0d721ebc1b6,M,1970,285,1091,0.2612282309807516
0560a35c-4c1c-46ce-8b36-f252cf3472de,M,1953,114,261,0.4367816091954023
05615b81-44a5-4252-9740-5b86419a0e29,M,1984,527,757,0.6961690885072656
056a7672-cd60-4559-8031-ab5d4e62b87d,M,1960,129,1063,0.1213546566321731
0571da8b-69a6-41b7-a477-583d3291be0f,M,1973,87,526,0.16539923954372623
05733228-19c1-4766-a688-6341bb85b996,F,1965,34,47,0.723404255319149
05817f96-175c-4750-b125-4eaed7f933a9,M,1981,0,0,0.0
059674bb-f3b5-4cf3-933b-6e6d72729fbc,M,1966,22,33,0.6666666666666666
05a2d07a-908c-4ef7-9bf2-6f4f409837b3,M,2000,31,66,0.4696969696969697
05a2f4f8-da7d-4336-9969-29ec54df2e6f,M,1979,48,56,0.8571428571428571
05a7c90d-dd93-42bc-83c9-acf5a7bc49ff,M,1983,5,74,0.06756756756756757
05c13838-9371-4757-89b1-55978fec3a8f,M,1998,227,784,0.2895408163265306
05d489e2-2a9e-4e14-bb40-7da7e52029c3,M,1997,0,0,0.0
05d6b5f5-2a17-4b73-8577-308e9a9a9109,M,1963,33,97,0.3402061855670103
05db634d-43dd-422d-8a3d-67984ed5c28c,M,1981,63,50,1.26
05dd9d2b-b8de-4ce5-b5df-498999c1962d,M,1974,6,8,0.75
05eb2a49-5fe3-4295-81b1-91821d599f5d,M,1980,383,1944,0.1970164609053498
0606e095-1254-4555-9479-ad22096adc93,M,1969,83,184,0.45108695652173914
060b0c4f-ab93-40c2-a79e-feb0422a7664,M,1984,286,1213,0.23577906018136852
060e8ebe-06f0-4f3c-b85f-7a83c2b2e935,M,2069,33,10276,0.003211366290385364
060eb403-bcff-487b-843d-278cc43e635b,M,1972,761,1077,0.7065923862581244
061fbfbd-0d28-495a-83c8-4b2aa7a968e9,M,1983,127,835,0.15209580838323353
062c0153-5e5b-4c62-ba7a-a1f5cdbdf876,M,2000,9,194,0.04639175257731959
063d24f4-9153-4968-b65c-cab94abcc9e8,M,1985,1016,2070,0.49082125603864735
064fe546-eb58-4078-9824-db7296f2abc8,M,1991,637,1401,0.45467523197715914
0653c016-326b-495d-8658-80e27a4a6d9b,M,1974,570,1030,0.5533980582524272
0654f306-3182-45dc-82a9-7ebb3bf45744,M,1969,86,368,0.23369565217391305
065abfb3-afb2-4ea9-842b-439658f3b1f0,M,1980,45,62,0.7258064516129032
065cb12b-37b2-4fe0-94c5-9fa75e24ac82,M,1947,249,830,0.3
0663de17-f001-430f-a70e-73ede12c15bd,M,1979,116,438,0.2648401826484018
